Timestamp,What gender do you identify with?,How old are you?,Where do you live?,Which is the main use you give to your smartwatch?,How many days do you use any functionality of your smartwatch?,Which is the brand of your smartwatch?,What are the features you use on your smartwatch?,What features do you use to track with your smartwatch?,What sport activities do you track with your smartwatch?
1/31/2024 0:58:57,Female,More than 66,North America,Training tracker,5,Apple,"Alarm clock, Notifications, Time display, Contactless payments, Sedentary reminder, Voice control","Distance tracker, Heart rate monitor, Sleep monitor",Walking
1/31/2024 1:17:29,Male,46 - 55,North America,Shortcut to cell functionalities,3,Samsung,"Multisport tracker, Time display, Sedentary reminder","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor","Walking, Running, Cycling, hiking/trekking"
1/31/2024 2:05:27,Male,15 - 25,Asia,Shortcut to cell functionalities,7,Garmin,"Multisport tracker, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Running, Cycling, hiking/trekking"
1/31/2024 3:34:11,Female,36 - 45,North America,Training tracker,6,Apple,"Multisport tracker, GPS, Time display, Music","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor","Walking, Cycling, Swimming"
1/31/2024 4:20:09,Male,46 - 55,North America,Training tracker,5,Apple,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, General exercises on gym"
1/31/2024 4:51:08,Male,26 - 35,Asia,Health tracker,6,Apple,"Alarm clock, Notifications, Phone calls, Time display, Music, Voice control","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Skiing"
1/31/2024 5:08:26,Female,26 - 35,Oceania,Training tracker,6,Apple,"Multisport tracker, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor",Walking
1/31/2024 5:12:13,Male,56 - 65,North America,Training tracker,3,Xiaomi,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor",Walking
1/31/2024 5:49:47,Male,36 - 45,North America,Training tracker,1,Fitbit,"Multisport tracker, Notifications, Sedentary reminder, Water drink reminder",Distance tracker,Walking
1/31/2024 6:38:48,Male,36 - 45,North America,Training tracker,6,Google,"Multisport tracker, Notifications, Text messaging, Time display","Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor","Walking, Running"
1/31/2024 7:43:46,Male,26 - 35,North America,Shortcut to cell functionalities,6,Apple,"Alarm clock, GPS, Notifications, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Running, Cycling"
1/31/2024 8:12:29,Male,15 - 25,Africa,Training tracker,4,Xiaomi,"Multisport tracker, Time display, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control","Walking, Cycling"
1/31/2024 8:14:33,Female,46 - 55,Europe,Training tracker,3,Apple,"Multisport tracker, Alarm clock, GPS, Notifications, Time display, Music, Weather","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Cycling"
1/31/2024 9:23:53,Female,26 - 35,North America,Watch,7,Generic,"Multisport tracker, Notifications, Time display","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor","Walking, Running, Cycling, hiking/trekking"
1/31/2024 9:28:02,Female,36 - 45,North America,Training tracker,1,Generic,"Alarm clock, Time display, Sedentary reminder, Timer","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor",Running
1/31/2024 10:02:27,Prefer not to say,26 - 35,North America,Health tracker,7,Google,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Running"
1/31/2024 11:08:59,Male,36 - 45,North America,Health tracker,7,Fitbit,"Alarm clock, Notifications, Time display, Contactless payments, Sedentary reminder, Voice control","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
1/31/2024 11:17:43,Male,46 - 55,North America,Shortcut to cell functionalities,5,Xiaomi,"Notifications, Phone calls, Time display","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor",Walking
1/31/2024 11:23:29,Male,46 - 55,Asia,Watch,6,Apple,"Notifications, Time display, Contactless payments, Voice control, Calendar","Distance tracker, Heart rate monitor","Walking, Running, Cycling"
1/31/2024 11:53:52,Female,15 - 25,Europe,Training tracker,7,Apple,"Notifications, Phone calls, Time display","Multisport tracker, Calories tracker, Heart rate monitor",Walking
1/31/2024 11:57:36,Female,26 - 35,Asia,Shortcut to cell functionalities,7,Xiaomi,"Notifications, Time display, Contactless payments, Voice control, Calendar","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor","Walking, Running"
1/31/2024 12:40:36,Female,56 - 65,Asia,Health tracker,5,Fitbit,"Multisport tracker, Alarm clock, Notifications, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
1/31/2024 13:16:46,Female,26 - 35,Asia,Training tracker,7,Garmin,"Time display, Contactless payments, Music","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor",Walking
1/31/2024 13:29:12,Male,36 - 45,Europe,Shortcut to cell functionalities,3,Apple,"Multisport tracker, Notifications, Time display, Email","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Cycling, Swimming, Skiing"
1/31/2024 13:39:39,Female,26 - 35,Europe,Training tracker,7,Apple,"Multisport tracker, Alarm clock, Notifications, Time display, Music, Sedentary reminder","Multisport tracker, Calories tracker, Heart rate monitor",Walking
1/31/2024 14:03:39,Male,36 - 45,North America,Shortcut to cell functionalities,7,Google,"Notifications, Phone calls, Time display","Multisport tracker, Calories tracker, Distance tracker","Walking, Running, General excersies on gym"
1/31/2024 14:49:28,Female,26 - 35,Asia,Shortcut to cell functionalities,7,Xiaomi,"Multisport tracker, Notifications, Phone calls, Time display, Music, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Stress control","Walking, Cycling, Yoga, stretching & gym"
1/31/2024 14:54:36,Female,26 - 35,Asia,Health tracker,7,Apple,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls, Time display, Music","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Running, Cycling, Swimming, Workouts "
1/31/2024 16:51:58,Male,15 - 25,Europe,Shortcut to cell functionalities,7,Google,"Notifications, Phone calls, Text messaging, Time display","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Running, Climbing, yoga, meditation, hiking, dancing"
1/31/2024 17:07:12,Male,26 - 35,Europe,Training tracker,7,Xiaomi,"Notifications, Time display, Contactless payments, Voice control, Calendar","Heart rate monitor, Sleep monitor, Mindfulness","Walking, Cycling, Yoga, stretching & gym"
1/31/2024 17:37:43,Male,15 - 25,North America,Shortcut to cell functionalities,7,Fitbit,"Multisport tracker, Alarm clock, Camara, GPS, Notifications, Phone calls, Text messaging, Time display, Contactless payments, Email, Music, Sedentary reminder","Distance tracker, Sleep monitor","Walking, Running, Cycling, hiking/trekking"
1/31/2024 17:58:23,Female,26 - 35,Asia,Training tracker,5,Garmin,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Multisport tracker, Distance tracker, Elevation tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control","Walking, Running, Skiing"
1/31/2024 18:08:09,Prefer not to say,15 - 25,Europe,Training tracker,7,Samsung,"Multisport tracker, Alarm clock, GPS, Notifications, Time display, Music, Weather","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor",Running
1/31/2024 19:21:23,Female,56 - 65,Oceania,Shortcut to cell functionalities,7,Xiaomi,"Multisport tracker, Notifications, Time display, Email","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor","Walking, Cycling"
1/31/2024 19:25:12,Male,26 - 35,North America,Shortcut to cell functionalities,5,Samsung,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control","Walking, Cycling, strength training"
1/31/2024 19:28:33,Female,36 - 45,Europe,Training tracker,5,Garmin,"Multisport tracker, Notifications, Time display","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor","Walking, Cycling, Swimming, Skiing"
1/31/2024 19:33:26,Female,36 - 45,Africa,Shortcut to cell functionalities,6,Apple,"GPS, Notifications, Time display, Contactless payments, Music, Sedentary reminder, Voice control","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling"
1/31/2024 20:15:41,Male,15 - 25,North America,Training tracker,3,Fitbit,"Multisport tracker, Alarm clock, Notifications, Time display, Music, Sedentary reminder",Distance tracker,"Walking, Cycling"
1/31/2024 21:48:21,Male,36 - 45,Europe,Shortcut to cell functionalities,5,Garmin,"Multisport tracker, Notifications, Time display","Multisport tracker, Calories tracker, Heart rate monitor","Walking, Running, Cycling, Swimming, Workouts "
1/31/2024 21:48:41,Male,26 - 35,North America,Health tracker,7,Apple,"Notifications, Phone calls, Text messaging, Time display","Distance tracker, Heart rate monitor",Walking
1/31/2024 22:27:00,Male,26 - 35,North America,Training tracker,3,Apple,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Running"
1/31/2024 23:00:27,Male,46 - 55,Asia,Training tracker,7,Samsung,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Heart rate monitor, Sleep monitor, Mindfulness","Walking, Cycling, Yoga, stretching & gym"
1/31/2024 23:58:40,Male,36 - 45,Oceania,Training tracker,7,Apple,"Multisport tracker, Notifications, Time display","Distance tracker, Heart rate monitor, Sleep monitor",Walking
2/1/2024 1:13:50,Female,26 - 35,Europe,Health tracker,3,Apple,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls, Time display, Music","Multisport tracker, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Mindfulness","Walking, Running, Cycling, hiking/trekking"
2/1/2024 1:16:44,Male,46 - 55,Europe,Shortcut to cell functionalities,4,Apple,"Multisport tracker, Notifications, Time display, Email","Distance tracker, Heart rate monitor","Walking, Cycling, strength training"
2/1/2024 1:20:09,Male,36 - 45,North America,Watch,7,Apple,"Multisport tracker, Alarm clock, Notifications, Time display, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Running, Cycling"
2/1/2024 1:23:02,Prefer not to say,15 - 25,Europe,Shortcut to cell functionalities,3,Apple,"Notifications, Phone calls, Time display","Heart rate monitor, Sleep monitor, Mindfulness",Gym metrcis
2/1/2024 1:57:12,Male,26 - 35,Europe,Shortcut to cell functionalities,4,Fitbit,"Multisport tracker, Sedentary reminder","Multisport tracker, Distance tracker, Elevation tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control","Walking, Cycling, Swimming"
2/1/2024 2:17:31,Female,26 - 35,Europe,Health tracker,5,Samsung,"Alarm clock, GPS, Notifications, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling"
2/1/2024 2:29:07,Male,15 - 25,Europe,Shortcut to cell functionalities,7,Garmin,"Multisport tracker, GPS, Time display, Music, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor, Sleep monitor",Walking
2/1/2024 2:32:42,Female,36 - 45,North America,Health tracker,5,Apple,"Multisport tracker, Notifications, Phone calls, Time display, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling, Swimming, Workouts "
2/1/2024 2:44:31,Female,46 - 55,Oceania,Training tracker,3,Apple,"Multisport tracker, Alarm clock, GPS, Notifications, Time display, Music, Weather","Heart rate monitor, Sleep monitor, Mindfulness","Walking, Running, Group fitness classes, weight lifting, yoga"
2/1/2024 3:53:22,Female,26 - 35,North America,Watch,7,Apple,"Alarm clock, Notifications, Phone calls, Time display, Music, Voice control","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control","Walking, Running, Cycling"
2/1/2024 4:24:57,Female,15 - 25,North America,Shortcut to cell functionalities,6,Xiaomi,"Notifications, Phone calls, Time display","Multisport tracker, Calories tracker, Heart rate monitor",Walking
2/1/2024 4:28:58,Male,36 - 45,Oceania,Shortcut to cell functionalities,4,Fitbit,"Multisport tracker, Notifications, Text messaging","Multisport tracker, Blood pressure monitor, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Cycling, Yoga, stretching & gym"
2/1/2024 4:35:59,Male,15 - 25,North America,Shortcut to cell functionalities,7,Apple,"Alarm clock, Notifications, Phone calls","Distance tracker, Sleep monitor","Walking, Cycling, Swimming, Skiing"
2/1/2024 4:53:23,Male,36 - 45,Europe,Shortcut to cell functionalities,7,Generic,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Distance tracker, Sleep monitor","Walking, Running, Climbing, yoga, meditation, hiking, dancing"
2/1/2024 5:00:50,Female,26 - 35,Africa,Shortcut to cell functionalities,7,Garmin,"Notifications, Time display","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control","Walking, Cycling, Swimming, Skiing"
2/1/2024 5:03:09,Female,15 - 25,Europe,Shortcut to cell functionalities,7,Apple,"Multisport tracker, Notifications, Time display, Email","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Yoga, Pilates"
2/1/2024 5:09:47,Male,36 - 45,North America,Health tracker,5,Apple,"Alarm clock, GPS, Notifications, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker","Walking, Yoga, Pilates"
2/1/2024 5:13:26,Male,56 - 65,Europe,Training tracker,1,Fitbit,"Multisport tracker, Notifications, Sedentary reminder, Water drink reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor","Walking, Cycling, Swimming, Skiing"
2/1/2024 5:14:20,Female,26 - 35,North America,Health tracker,4,Samsung,"Multisport tracker, Notifications, Text messaging, Time display","Multisport tracker, Calories tracker, Distance tracker",Walking
2/1/2024 5:21:14,Male,46 - 55,North America,Health tracker,7,Generic,"Multisport tracker, Alarm clock","Multisport tracker, Calories tracker, Distance tracker","Walking, Cycling, strength training"
2/1/2024 5:27:05,Male,46 - 55,North America,Shortcut to cell functionalities,6,Apple,"Alarm clock, Time display, Sedentary reminder, Timer",Distance tracker,Walking
2/1/2024 5:32:48,Female,15 - 25,Africa,Health tracker,3,Apple,"Multisport tracker, Notifications, Text messaging",Distance tracker,"Walking, Running, Cycling"
2/1/2024 5:43:52,Female,15 - 25,Oceania,Shortcut to cell functionalities,5,Google,"GPS, Notifications, Time display, Contactless payments, Music, Sedentary reminder, Voice control","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Running, General exercises on gym"
2/1/2024 6:00:47,Male,26 - 35,North America,Training tracker,4,Fitbit,"Multisport tracker, Alarm clock, Notifications, Music, Sedentary reminder","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor","Walking, Running"
2/1/2024 6:28:09,Male,36 - 45,North America,Shortcut to cell functionalities,7,Fitbit,"Multisport tracker, Notifications, Time display, Email","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control","Walking, Cycling"
2/1/2024 6:29:30,Female,36 - 45,North America,Training tracker,7,Apple,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls, Time display, Contactless payments, Music, Sedentary reminder, Voice control","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor",Walking
2/1/2024 6:50:33,Female,26 - 35,Asia,Shortcut to cell functionalities,3,Apple,"Multisport tracker, Notifications, Time display","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Running, Climbing, yoga, meditation, hiking, dancing"
2/1/2024 6:51:53,Female,46 - 55,North America,Training tracker,7,Generic,"Multisport tracker, GPS, Time display, Music","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
2/1/2024 7:06:55,Male,15 - 25,Africa,Training tracker,2,Apple,"Time display, Contactless payments, Music","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Cycling, Swimming, Skiing"
2/1/2024 7:13:54,Female,36 - 45,Africa,Training tracker,4,Fitbit,"Multisport tracker, Alarm clock, Notifications, Time display, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Cycling, Swimming"
2/1/2024 7:21:36,Female,26 - 35,Europe,Shortcut to cell functionalities,5,Apple,"Multisport tracker, Alarm clock, Notifications, Time display, Music, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Cycling, Swimming"
2/1/2024 7:40:18,Male,26 - 35,North America,Health tracker,7,Google,"Multisport tracker, Notifications, Phone calls, Time display, Music, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Mindfulness",Walking
2/1/2024 7:44:04,Male,26 - 35,North America,Training tracker,7,Apple,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Cycling, Swimming, Skiing"
2/1/2024 7:49:42,Male,36 - 45,North America,Health tracker,7,Garmin,Multisport tracker,"Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
2/1/2024 8:14:39,Male,26 - 35,Europe,Shortcut to cell functionalities,3,Samsung,"Time display, Contactless payments, Music","Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor",Walking
2/1/2024 8:17:42,Male,15 - 25,Europe,Shortcut to cell functionalities,4,Garmin,"Alarm clock, Time display, Sedentary reminder, Timer","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor",Walking
2/1/2024 8:51:02,Male,15 - 25,North America,Shortcut to cell functionalities,7,Garmin,"Multisport tracker, Alarm clock, Notifications, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor",Walking
2/1/2024 8:54:43,Male,46 - 55,North America,Training tracker,7,Google,"Multisport tracker, Alarm clock, GPS, Notifications, Time display, Music, Weather","Heart rate monitor, Sleep monitor, Mindfulness","Walking, Cycling, Swimming"
2/1/2024 9:03:47,Male,46 - 55,North America,Watch,7,Xiaomi,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls, Time display, Music","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Running"
2/1/2024 9:44:15,Female,46 - 55,North America,Training tracker,5,Xiaomi,"Multisport tracker, Alarm clock, GPS, Notifications, Time display, Music, Weather","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control",Walking
2/1/2024 9:55:24,Male,36 - 45,Asia,Shortcut to cell functionalities,7,Xiaomi,"Multisport tracker, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor","Walking, Running, Cycling, hiking/trekking"
2/1/2024 9:58:26,Male,46 - 55,Europe,Training tracker,5,Garmin,"Multisport tracker, Notifications, Text messaging","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor","Walking, Running, Cycling, Pilates"
2/1/2024 10:48:52,Male,15 - 25,Europe,Shortcut to cell functionalities,4,Apple,"GPS, Time display","Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor",Walking
